,compound_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,target_name,organism,assay_description,assay_type,Ki [nM]
4207,CHEMBL325710,CCCN(CCC)C1Cc2cc3nc(N)sc3cc2C1,Ki,=,27.0,nM,Dopamine D2 receptor,Homo sapiens,in vitro binding affinity was determined on human Dopamine receptor D2L expressed in chinese hamster ovary(CHO) K-1 cells using [3H]NPA as radioligand.,B,27.0
4219,CHEMBL120590,O=C1Oc2cc(OCCCN3CCN(CC3)c4ccccc4)ccc2C=C1,Ki,=,16.0,nM,Dopamine D2 receptor,Homo sapiens,Compound was measured for the binding affinity in homogenated mouse fibroblast (LTK) cells transfected with human Dopamine receptor D2A using [3H]raclopride as radioligand.,B,16.0
4220,CHEMBL120661,CC1=C(C)c2ccc(OCCCN3CCN(CC3)c4ccccc4)cc2OC1=O,Ki,=,5.92,nM,Dopamine D2 receptor,Homo sapiens,Compound was measured for the binding affinity in homogenated mouse fibroblast (LTK) cells transfected with human Dopamine receptor D2A using [3H]raclopride as radioligand.,B,5.92
4221,CHEMBL422788,CC1=Cc2ccc(OCCCN3CCN(CC3)c4ccccc4)cc2OC1=O,Ki,=,10.8,nM,Dopamine D2 receptor,Homo sapiens,Compound was measured for the binding affinity in homogenated mouse fibroblast (LTK) cells transfected with human Dopamine receptor D2A using [3H]raclopride as radioligand.,B,10.8
4222,CHEMBL116372,CCCN(CCC)C1COc2ccc3nc(N)sc3c2C1,Ki,=,47.0,nM,Dopamine D2 receptor,Homo sapiens,in vitro binding affinity was determined on human Dopamine receptor D2L expressed in chinese hamster ovary(CHO) K-1 cells using [3H]-0437 as radioligand.,B,47.0
4231,CHEMBL124234,O.Cc1ccc(CN2CCC(CC2)C3CCc4ccccc4C3=O)cc1,Ki,=,37.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for dopamine D2 receptor using [3H]spiperone in guinea pig striatum,B,37.0
4232,CHEMBL122538,Fc1ccc2C(=O)C(CCc2c1)C3CCN(Cc4ccccc4)CC3,Ki,=,62.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for dopamine D2 receptor using [3H]spiperone in guinea pig striatum,B,62.0
4246,CHEMBL122533,COc1cc(N)c(Cl)cc1C(=O)NC2CC3CCCC(C2)N3Cc4ccccc4,Ki,=,0.2512,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards dopamine D2 receptor,B,0.2512
4253,CHEMBL124444,COc1ccccc1N2CCN(CCCCNC(=O)c3oc4ccccc4c3)CC2,Ki,=,84.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human Dopamine receptor D2 (short) by [3H]- spiperone displacement.,B,84.0
4258,CHEMBL127317,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc4ccccc4n3)CC2,Ki,=,66.8,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]-N-methylspiperone from human dopamine D2 receptor (unknown origin) expressed in HEK293 cells after 1 hr by liquid scintillation counting,B,66.8
4261,CHEMBL125916,COc1ccccc1N2CCN(CCCCNC(=O)c3cc4ccccc4[nH]3)CC2,Ki,=,37.4,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]-IABN from D2 receptor,B,37.4
4263,CHEMBL125916,COc1ccccc1N2CCN(CCCCNC(=O)c3cc4ccccc4[nH]3)CC2,Ki,=,37.4,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [125I]IABN from human D2L receptor expressed in HEK293 cells after 60 mins by gamma counting analysis,B,37.4
4265,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,EC50,=,165.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro effective concentration tested on HEK293 cells co-transfected with human Dopamine receptor D2 using FLIPR assay,F,82.5
4267,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,Ki,=,9.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine receptor D2 by displacement of [3H]U-86170.,B,9.0
4268,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,Ki,=,17.1,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]7-OH-DPAT from human D2 receptor transfected in HEK293 cells measured after 60 mins by liquid scintillation counter,B,17.1
4270,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,EC50,=,60.1,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human D2 receptor transfected in HEK293T cells by BRET based G0 activation assay,B,30.05
4272,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,EC50,=,64.7,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at recombinant human D2 receptor expressing in CHOp cells assessed as receptor mediated stimulation of mitogenesis measured as [3H]thymidine incorporation after 24 hrs by scintillation spectrometry,B,32.35
4274,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,EC50,=,4.6,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at recombinant human D2 receptor expressing in CHO cells assessed as receptor mediated stimulation of mitogenesis measured as [3H]thymidine incorporation by beta plate counter,B,2.3
4276,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,EC50,=,32.2,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine D2 receptor expressed in HEK293 cells assessed as cAMP inhibition by BRET assay,B,16.1
4277,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,Ki,=,46.3,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]-(R)-(+)-7-OH-DPAT from human dopamine D2 receptor expressed in HEK293 cell membranes after 90 mins by micro beta scintillation counting analysis,B,46.3
4282,CHEMBL419792,CN[C@H]1CN2C(=O)Nc3cccc(C1)c23,EC50,=,74.8,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine D2 receptor expressed in HEK293 cells coexpressing renilla luciferase-fused GalphaoA/GFP10-fused Ggamma2 by BRET assay,B,37.4
4291,CHEMBL341299,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3occc3)CC2.OC(=O)C(=O)O,Ki,=,11.1,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,11.1
4292,CHEMBL126749,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc4ccccc4c3)CC2,Ki,=,32.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,32.0
4293,CHEMBL341542,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3cccnc3)CC2.OC(=O)C(=O)O,Ki,=,14.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,14.5
4295,CHEMBL126474,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc(cc3)C(=O)C)CC2,Ki,=,17.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,17.5
4296,CHEMBL338552,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3cccs3)CC2.OC(=O)C(=O)O,Ki,=,9.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,9.5
4298,CHEMBL127288,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc(cc3)C(C)(C)C)CC2,Ki,=,26.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,26.5
4299,CHEMBL126280,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccsc3)CC2,Ki,=,13.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,13.0
4301,CHEMBL127230,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(Oc4ccccc4)cc3)CC2,Ki,=,65.2,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,65.2
4302,CHEMBL126312,COc1ccccc1N2CCN(Cc3ccccc3CNC(=O)c4ccc5ccccc5c4)CC2.OC(=O)C(=O)O,Ki,=,28.4,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,28.4
4303,CHEMBL127807,COc1ccccc1N2CCN(Cc3cccc(CNC(=O)c4ccc5ccccc5c4)c3)CC2.OC(=O)C(=O)O,Ki,=,45.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,45.0
4304,CHEMBL129035,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(\C=C\C(=O)NCCCCN4CCN(CC4)c5ccccc5OC)cc3)CC2,Ki,=,7.2,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,7.2
4305,CHEMBL126632,COc1ccccc1N2CCN(CCCCN3C(=O)c4ccccc4C3=O)CC2.OC(=O)C(=O)O,Ki,=,50.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,50.0
4306,CHEMBL129767,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\C=C\c3ccccc3)CC2,Ki,=,19.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,19.0
4307,CHEMBL127311,COc1ccc(\C=C\C(=O)NCCCCN2CCN(CC2)c3ccccc3OC)cc1,Ki,=,12.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,12.0
4310,CHEMBL126331,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)NCCCN3CCN(CC3)c4ccccc4OC.OC(=O)C(=O)O,Ki,=,94.6,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,94.6
4311,CHEMBL340608,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccccc3I)CC2,Ki,=,63.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,63.0
4312,CHEMBL127654,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccccc3Cl)CC2.OC(=O)C(=O)O,Ki,=,15.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,15.0
4320,CHEMBL127912,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3cccc(Cl)c3)CC2.OC(=O)C(=O)O,Ki,=,20.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,20.0
4321,CHEMBL126285,COc1ccccc1N2CCN(CCCCN3C(=O)c4cccc5cccc(C3=O)c45)CC2,Ki,=,40.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,40.0
4323,CHEMBL127923,COc1cc(\C=C\C(=O)NCCCCN2CCN(CC2)c3ccccc3OC)cc(I)c1OC.OC(=O)C(=O)O,Ki,=,38.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,38.5
4325,CHEMBL340851,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(OCc4ccccc4)cc3)CC2,Ki,=,32.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,32.0
4326,CHEMBL415520,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3cccc(c3)C(F)(F)F)CC2.OC(=O)C(=O)O,Ki,=,50.2,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,50.2
4327,CHEMBL126258,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc(Cl)cc3)CC2.OC(=O)C(=O)O,Ki,=,19.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,19.5
4330,CHEMBL126948,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc(cc3)C(=O)c4ccccc4)CC2.OC(=O)C(=O)O,Ki,=,63.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,63.0
4331,CHEMBL421085,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)CC2.OC(=O)C(=O)O,Ki,=,23.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,23.0
4333,CHEMBL125459,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3cccc4OCOc34)CC2,Ki,=,8.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,8.0
4334,CHEMBL127038,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc4OCOc4c3)CC2,Ki,=,10.3,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,10.3
4335,CHEMBL338063,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(Cl)cc3Cl)CC2.OC(=O)C(=O)O,Ki,=,21.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,21.0
4336,CHEMBL126441,COc1ccccc1\C=C\C(=O)NCCCCN2CCN(CC2)c3ccccc3OC,Ki,=,14.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,14.0
4337,CHEMBL126746,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(cc3)c4ccccc4)CC2,Ki,=,37.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,37.0
4338,CHEMBL127234,COc1ccccc1N2CCN(Cc3ccccc3CNC(=O)\C=C\c4ccccc4)CC2,Ki,=,18.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,18.0
4341,CHEMBL126892,COc1ccccc1N2CCN(CCCCNC(=O)c3nccc4ccccc34)CC2.OC(=O)C(=O)O,Ki,=,20.9,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,20.9
4342,CHEMBL126439,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc4ccccc4n3)CC2.OC(=O)C(=O)O,Ki,=,53.2,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,53.2
4344,CHEMBL339062,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(C=O)cc3)CC2.OC(=O)C(=O)O,Ki,=,11.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,11.5
4345,CHEMBL129465,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(cc3)[N+](=O)[O-])CC2.OC(=O)C(=O)O,Ki,=,14.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,14.0
4346,CHEMBL341241,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(cc3)C#N)CC2.OC(=O)C(=O)O,Ki,=,10.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,10.0
4347,CHEMBL126502,COc1ccccc1N2CCN(CCCCNC(=O)c3cccc(I)c3)CC2.OC(=O)C(=O)O,Ki,=,68.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,68.0
4348,CHEMBL129483,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc(cc3)c4ccccc4)CC2.OC(=O)C(=O)O,Ki,=,75.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,75.0
4350,CHEMBL126136,COc1ccccc1N2CCN(CCCCNC(=O)c3ccccc3I)CC2,Ki,=,15.2,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,15.2
4351,CHEMBL129429,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(cc3)C(F)(F)F)CC2,Ki,=,36.79,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,36.79
4352,CHEMBL128133,COc1ccccc1N2CCN(CCCNC(=O)Cc3ccc4ccccc4c3)CC2.OC(=O)C(=O)O,Ki,=,56.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,56.0
4353,CHEMBL340712,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(I)cc3)CC2,Ki,=,76.4,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,76.4
4354,CHEMBL126834,COc1ccccc1N2CCN(CCCCNC(=O)c3cccc4C(=O)c5ccccc5c34)CC2,Ki,=,18.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,18.0
4356,CHEMBL126656,COc1ccccc1N2CCN(CCCNC(=O)Cc3cccc4ccccc34)CC2.OC(=O)C(=O)O,Ki,=,44.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,44.0
4357,CHEMBL341134,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(Br)cc3)CC2.OC(=O)C(=O)O,Ki,=,23.7,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,23.7
4358,CHEMBL339103,COc1ccccc1N2CCN(CCCCNC(=O)Cc3ccc4ccccc4c3)CC2.OC(=O)C(=O)O,Ki,=,35.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,35.0
4359,CHEMBL126725,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(Cl)cc3)CC2.OC(=O)C(=O)O,Ki,=,22.6,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,22.6
4361,CHEMBL126725,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(Cl)cc3)CC2.OC(=O)C(=O)O,EC50,=,10.0,nM,Dopamine D2 receptor,Homo sapiens,Effective concentration for Dopamine receptor D3 was determined,F,5.0
4362,CHEMBL338606,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(F)cc3)CC2,Ki,=,20.7,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,20.7
4363,CHEMBL338606,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(F)cc3)CC2,Ki,=,27.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2long receptor expressed in CHO cells,B,27.0
4364,CHEMBL338606,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(F)cc3)CC2,Ki,=,21.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human dopamine D2short receptor expressed in CHO cells,B,21.0
4365,CHEMBL338606,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(F)cc3)CC2,EC50,=,1.7,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human dopamine receptor D2long expressed in CHO10001 cells assessed as stimulation of incorporation [3H]-thymidine incorporation,F,0.85
4368,CHEMBL126128,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccccc3)CC2.OC(=O)C(=O)O,Ki,=,13.54,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,13.54
4369,CHEMBL126313,COc1ccccc1N2CCN(CCCCNC(=O)c3sc4ccccc4c3Cl)CC2,Ki,=,71.9,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,71.9
4370,CHEMBL126780,COc1ccccc1N2CCN(CCCCNC(=O)C3=Cc4ccccc4OC3=O)CC2,Ki,=,23.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,23.0
4372,CHEMBL340211,Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ccccn3,Ki,=,52.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from CHO-K1 cell membranes expressing human dopamine receptor D2,B,52.0
4373,CHEMBL340173,COc1ccccc1N2CCN(CCCCNC(=O)CCc3ccccc3)CC2.OC(=O)C(=O)O,Ki,=,48.7,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,48.7
4374,CHEMBL125525,COc1ccccc1N2CCN(CCCCNC(=O)C3=COc4ccccc4C3=O)CC2.OC(=O)C(=O)O,Ki,=,47.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,47.0
4375,CHEMBL127114,COc1ccccc1N2CCN(CCCCNC(=O)C3CC3c4ccccc4)CC2.OC(=O)C(=O)O,Ki,=,81.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,81.0
4376,CHEMBL127080,COc1ccccc1N2CCN(CCCCNC(=O)C3(CCCC3)c4ccc(Cl)cc4)CC2.OC(=O)C(=O)O,Ki,=,56.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,56.0
4378,CHEMBL129237,O[C@@H](CCCN1CCC(O)(CC1)c2ccc(Cl)cc2)c3ccc(F)cc3,Ki,=,73.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from CHO-K1 cell membranes expressing human dopamine receptor D2,B,73.0
4383,CHEMBL129022,COc1ccccc1N2CCN(CCCCNC(=O)c3cc4ccccc4cn3)CC2.OC(=O)C(=O)O,Ki,=,27.5,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity for human dopamine receptor D2 by displacing [125I]iodosulpiride expressed in CHO cells,B,27.5
4385,CHEMBL129022,COc1ccccc1N2CCN(CCCCNC(=O)c3cc4ccccc4cn3)CC2.OC(=O)C(=O)O,EC50,=,2.5,nM,Dopamine D2 receptor,Homo sapiens,Effective concentration for Dopamine receptor D3 was determined,F,1.25
4387,CHEMBL125455,Clc1ccc(N2CCN(C[C@@H]3C[C@H]3c4ccccc4)CC2)c(Cl)c1,IC50,=,64.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,32.0
4388,CHEMBL126429,Clc1ccc(cc1Cl)N2CCN(C[C@H]3C[C@@H]3c4ccccc4)CC2,Ki,=,93.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibition of human dopamine D2 receptor,B,93.0
4389,CHEMBL341497,C([C@H]1C[C@@H]1c2ccccc2)N3CCN(CC3)c4ccccc4,IC50,=,37.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,18.5
4390,CHEMBL130795,CS(=O)(=O)O.Oc1ccc(cc1)C2CN(CC=C)CCc3c(Cl)c(O)c(O)cc23,EC50,=,122.0,nM,Dopamine D2 receptor,Homo sapiens,Dopamine receptor D2 agonist activity was determined for inhibition of release of NE in an isolated perfused rabbit ear artery preparation,F,61.0
4391,CHEMBL131313,CS(=O)(=O)O.Oc1ccc(cc1)C2CN(CC=C)CCc3c(Br)c(O)c(O)cc23,EC50,=,174.0,nM,Dopamine D2 receptor,Homo sapiens,Dopamine receptor D2 agonist activity was determined for inhibition of the constrictor response to electrical stimulation in an isolated perfused rabbit ear artery preparation,F,87.0
4392,CHEMBL129634,CS(=O)(=O)O.Oc1ccc(cc1)C2CN(CC=C)CCc3c(F)c(O)c(O)cc23,EC50,=,137.0,nM,Dopamine D2 receptor,Homo sapiens,Dopamine receptor D2 agonist activity was determined for inhibition of the constrictor response to electrical stimulation in an isolated perfused rabbit ear artery preparation,F,68.5
4397,CHEMBL129534,Clc1cccc(OCCNCCCOc2ccccc2)c1,Ki,=,22.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against cloned human dopamine receptor D2 expressed in Chinese hamster ovary (CHO) K-1 cells by displacement of [3H]spiperone.,B,22.0
4398,CHEMBL129534,Clc1cccc(OCCNCCCOc2ccccc2)c1,Ki,=,21.88,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to displace [3H]spiperone from cloned human dopamine receptor D2 was determined,B,21.88
4403,CHEMBL128232,Cc1cccc(OCCNCCCOc2ccccc2)c1,Ki,=,61.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against cloned human dopamine receptor D2 expressed in Chinese hamster ovary (CHO) K-1 cells by displacement of [3H]spiperone.,B,61.0
4404,CHEMBL128232,Cc1cccc(OCCNCCCOc2ccccc2)c1,Ki,=,61.66,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to displace [3H]spiperone from cloned human dopamine receptor D2 was determined,B,61.66
4405,CHEMBL128313,Cc1ccccc1OCCNCCCOc2ccccc2,Ki,=,20.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against cloned human dopamine receptor D2 expressed in Chinese hamster ovary (CHO) K-1 cells by displacement of [3H]spiperone.,B,20.0
4406,CHEMBL128313,Cc1ccccc1OCCNCCCOc2ccccc2,Ki,=,19.95,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity to displace [3H]spiperone from cloned human dopamine receptor D2 was determined,B,19.95
