,compound_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,target_name,organism,assay_description,assay_type,Ki [nM]
3709,CHEMBL103912,CCCN(CCC)CC1CCc2ccsc2C1,Ki,=,3107.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human Dopamine receptor D2 expressed in CHO K1 cells was measured by its ability to displace [3H]- N-0437,B,3107.0
3710,CHEMBL104135,CCCN(CCC)CC1CCc2sccc2C1,Ki,=,2037.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human Dopamine receptor D2 expressed in CHO K1 cells was measured by its ability to displace [3H]- N-0437,B,2037.0
3711,CHEMBL319051,C1COC2C(CCc3sccc23)N1,Ki,>,4780.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity at human Dopamine receptor D2 expressed in CHO K1 cells was measured by its ability to displace [3H]- N-0437,B,4780.0
3712,CHEMBL104700,C(N1C2CCC1CC2)c3cccnc3,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Inhibition of D2 dopamine receptor,B,10000.0
3715,CHEMBL101480,CCCN1CCOC(C1)c2cccc(OC)c2,EC50,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human recombinant dopamine D2 receptor expressed in rat pituitary cells assessed as inhibition of forskolin-stimulated cAMP accumulation,F,5000.0
3716,CHEMBL105646,CCCN1CCOC(C1)c2cccc(Cl)c2,EC50,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human recombinant dopamine D2 receptor expressed in rat pituitary cells assessed as inhibition of forskolin-stimulated cAMP accumulation,F,5000.0
3725,CHEMBL102463,CCCN1CCOC(C1)c2cccc(O)c2,EC50,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Agonist activity at human recombinant dopamine D2 receptor expressed in rat pituitary cells assessed as inhibition of forskolin-stimulated cAMP accumulation,F,5000.0
3756,CHEMBL104155,CC1Cc2ccccc2N1C(=O)CC3CCN(Cc4ccccc4F)CC3,Ki,=,1414.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1414.0
3765,CHEMBL317266,Fc1ccc2CCN(C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3)c2c1,Ki,=,2552.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,2552.0
3766,CHEMBL321058,Cc1cccc2N(CCc12)C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,3431.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,3431.0
3769,CHEMBL107804,CC1Cc2ccccc2N1C(=O)CN3CCN(Cc4cc(F)cc(F)c4)CC3,Ki,=,3011.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,3011.0
3775,CHEMBL104256,CC1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccccc4C)CC3,Ki,=,1530.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1530.0
3777,CHEMBL323525,COc1ccc(CN2CCN(CC(=O)N3C(C)Cc4ccccc34)CC2)cc1,Ki,=,2094.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,2094.0
3780,CHEMBL106208,CC1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(OC(F)(F)F)cc4)CC3,Ki,=,3823.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,3823.0
3781,CHEMBL419916,CC1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(cc4)C(C)(C)C)CC3,Ki,=,1918.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1918.0
3782,CHEMBL320440,CC(C)c1ccc(CN2CCN(CC(=O)N3C(C)Cc4ccccc34)CC2)cc1,Ki,=,1784.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1784.0
3783,CHEMBL105454,C[C@@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(cc4)C(F)(F)F)CC3,Ki,=,5940.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,5940.0
3786,CHEMBL105354,C[C@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(C)cc4)CC3,Ki,=,2364.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,2364.0
3788,CHEMBL104321,CC1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(cc4)C(F)(F)F)CC3,Ki,=,5287.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,5287.0
3794,CHEMBL322222,C[C@@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc5OCOc5c4)CC3,Ki,=,1434.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,1434.0
3795,CHEMBL104323,C[C@@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4cc(F)c(Cl)cc4F)CC3,Ki,=,2583.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,2583.0
3804,CHEMBL106998,Cc1ccc2N(CCc2c1)C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,1692.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,1692.0
3822,CHEMBL107631,COC(=O)[C@@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,1178.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,1178.0
3823,CHEMBL320721,FC[C@@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,1096.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,1096.0
3824,CHEMBL322567,Clc1ccc(CN2CCN(CCN3C(=O)C(=O)c4ccccc34)CC2)cc1,Ki,=,1225.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1225.0
3825,CHEMBL106751,CC(N1CCN(CC(=O)N2C(C)Cc3ccccc23)CC1)c4ccc(Cl)cc4,Ki,=,1252.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1252.0
3826,CHEMBL323022,CC1Cc2ccccc2N1C(=O)CN3CCN(CCc4ccc(Cl)cc4)CC3,Ki,=,5247.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,5247.0
3828,CHEMBL105595,Cc1ccc2CCN(C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3)c2c1,Ki,=,6357.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,6357.0
3830,CHEMBL104800,Clc1ccc(CN2CCN(CCN3c4ccccc4CS3(=O)=O)CC2)cc1,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,10000.0
3834,CHEMBL321201,C[C@@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccccc4Cl)CC3,Ki,=,1149.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,1149.0
3835,CHEMBL107755,Clc1ccc(CN2CCN(CC(=O)N3CCCC4CCCCC34)CC2)cc1,Ki,=,5847.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,5847.0
3836,CHEMBL107338,CC1CC(C)(C)N(C(=O)CN2CCN(Cc3ccc(Cl)cc3)CC2)c4cc(C)ccc14,Ki,=,1926.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,1926.0
3837,CHEMBL107391,CC1CCc2cc(F)ccc2N1C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,2220.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,2220.0
3838,CHEMBL108157,Clc1ccc(CN2CCN(CCN3C(=O)Sc4ccccc34)CC2)cc1,Ki,=,1207.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1207.0
3839,CHEMBL107151,OC[C@@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,3027.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,3027.0
3841,CHEMBL324867,CC(N1CCN(Cc2ccc(Cl)cc2)CC1)C(=O)N3CCc4ccccc34,Ki,>,7000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,7000.0
3843,CHEMBL104063,Clc1ccc(CN2CCN(CCN3C(=O)Oc4ccccc34)CC2)cc1,Ki,=,8053.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,8053.0
3846,CHEMBL106598,Clc1ccc(CN2CCN(CC(=O)N3CCc4c(Cl)cccc34)CC2)cc1,Ki,=,2145.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,2145.0
3847,CHEMBL104399,C[C@@H]1CN(Cc2ccc(Cl)cc2)CCN1CC(=O)N3CCc4ccccc34,Ki,=,5839.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,5839.0
3848,CHEMBL104756,C[C@@H]1CN(CC(=O)N2CCc3ccccc23)C[C@H](C)N1Cc4ccc(Cl)cc4,Ki,=,8620.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,8620.0
3849,CHEMBL104138,C[C@@H]1CN(Cc2ccc(Cl)cc2)CC[N@@+]1(C)CC(=O)N3CCc4ccccc34,Ki,=,4742.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,4742.0
3853,CHEMBL107351,C[C@@H]1CN(CC(=O)N2CCc3ccccc23)[C@@H](C)CN1Cc4ccc(Cl)cc4,Ki,=,6740.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,6740.0
3854,CHEMBL106897,CC1CCc2ccccc2N1C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,4126.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,4126.0
3855,CHEMBL107962,Clc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC35CCCCC5)CC2)cc1,Ki,=,3325.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,3325.0
3861,CHEMBL106119,C[C@H]1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,9395.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards Dopamine type 2 receptor was determined by displacement assays using [3H]-YM 09151 as the competitive ligand,B,9395.0
3863,CHEMBL104196,Clc1ccc(CN2CCN(CC(=O)N3CCOc4ccccc34)CC2)cc1,Ki,=,2610.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,2610.0
3864,CHEMBL323537,Clc1ccc(CN2CCN(CC(=O)N3CCCc4ccccc34)CC2)cc1,Ki,=,2629.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,2629.0
3865,CHEMBL104497,CC1Cc2ccccc2N1C(=O)CC3CCN(Cc4ccc(cc4)[N+](=O)[O-])CC3,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,10000.0
3866,CHEMBL104498,Clc1ccc(CN2CCN(CCC(=O)N3CCc4ccccc34)CC2)cc1,Ki,=,5847.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,5847.0
3868,CHEMBL104238,Clc1ccc(CN2CCN(CC(=O)N3CCSc4ccccc34)CC2)cc1,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,10000.0
3869,CHEMBL106007,Clc1ccc(CN2CCN(CC(=O)N3CCCSc4ccccc34)CC2)cc1,Ki,>,5000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,5000.0
3876,CHEMBL321871,CC(C)C1Cc2ccccc2N1C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,2524.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,2524.0
3877,CHEMBL320067,CC1CN(C(=O)CN2CCN(Cc3ccc(Cl)cc3)CC2)c4ccccc14,Ki,=,4375.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,4375.0
3881,CHEMBL107229,Cc1cccc2CCN(C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3)c12,Ki,=,4623.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,4623.0
3884,CHEMBL106917,CN(C)S(=O)(=O)c1ccc2N(CCc2c1)C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,3780.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,3780.0
3886,CHEMBL318760,CSc1ccc2N(CCc2c1)C(=O)CN3CCN(Cc4ccc(Cl)cc4)CC3,Ki,=,3780.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity towards human Dopamine receptor D2 was determined via standard competitive displacement assay using [3H]-YM 09151 as radioligand,B,3780.0
3890,CHEMBL322326,Clc1ccc(CN2CCN(CCN3C(=O)Cc4ccccc34)CC2)cc1,Ki,=,1642.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,1642.0
3891,CHEMBL104514,Clc1ccc(CN2CCN(CC2)C(=O)CN3CCc4ccccc34)cc1,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,"Binding affinity towards human dopamine D2 receptor, using [3H]YM-09151 as a radioligand",B,10000.0
3894,CHEMBL106047,CCCN(CCC)C1CCc2cc(OC)ccc2C1,Ki,>,10000.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity is the ability to displace [3H]spiperone from human Dopamine receptor D2 expressed in CHO-K1 cells,B,10000.0
3895,CHEMBL106047,CCCN(CCC)C1CCc2cc(OC)ccc2C1,Ki,=,3940.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity is the ability to displace [3H]N-0437 from human Dopamine receptor D2 expressed in CHO-K1 cells,B,3940.0
3896,CHEMBL422959,O=Cc1ccn(c1)C2CCN(Cc3ccccc3)CC2,Ki,=,49000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,49000.0
3897,CHEMBL422959,O=Cc1ccn(c1)C2CCN(Cc3ccccc3)CC2,Ki,=,65000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,65000.0
3902,CHEMBL325104,C#Cc1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,6600.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,6600.0
3903,CHEMBL325104,C#Cc1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,6300.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,6300.0
3904,CHEMBL108160,C[Si](C)(C)C#Cc1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,6200.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,6200.0
3905,CHEMBL108160,C[Si](C)(C)C#Cc1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,4900.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,4900.0
3906,CHEMBL105509,CCCN(CCC)C1CCc2nc(OC)ccc2C1,Ki,>,3333.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity is the ability to displace [3H]spiperone from human Dopamine receptor D2 expressed in CHO-K1 cells,B,3333.0
3907,CHEMBL105509,CCCN(CCC)C1CCc2nc(OC)ccc2C1,Ki,=,1202.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity is the ability to displace [3H]N-0437 from human Dopamine receptor D2 expressed in CHO-K1 cells,B,1202.0
3910,CHEMBL318740,CCCN(CCC)C1CCc2n[nH]cc2C1,Ki,>,3333.0,nM,Dopamine D2 receptor,Homo sapiens,In vitro binding affinity is the ability to displace [3H]spiperone from human Dopamine receptor D2 expressed in CHO-K1 cells,B,3333.0
3912,CHEMBL326864,N#CC(=Cc1cccn1C2CCN(Cc3ccccc3)CC2)C#N,Ki,=,11000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,11000.0
3913,CHEMBL326864,N#CC(=Cc1cccn1C2CCN(Cc3ccccc3)CC2)C#N,Ki,=,7800.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,7800.0
3914,CHEMBL106635,Ic1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,8500.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,8500.0
3915,CHEMBL106635,Ic1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,5300.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,5300.0
3916,CHEMBL104092,C(N1CCC(CC1)n2cccc2C#Cc3ccccc3)c4ccccc4,Ki,=,10000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,10000.0
3917,CHEMBL104092,C(N1CCC(CC1)n2cccc2C#Cc3ccccc3)c4ccccc4,Ki,=,8300.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,8300.0
3922,CHEMBL109173,O=Cc1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,1400.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,1400.0
3923,CHEMBL109173,O=Cc1cccn1C2CCN(Cc3ccccc3)CC2,Ki,=,1500.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,1500.0
3924,CHEMBL104201,N#CC(=Cc1ccn(c1)C2CCN(Cc3ccccc3)CC2)C#N,Ki,=,13000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,13000.0
3925,CHEMBL104201,N#CC(=Cc1ccn(c1)C2CCN(Cc3ccccc3)CC2)C#N,Ki,=,18000.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,18000.0
3928,CHEMBL107529,C(N1CCC(CC1)n2ccc(c2)c3ocnc3)c4ccccc4,Ki,=,3400.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,3400.0
3929,CHEMBL107529,C(N1CCC(CC1)n2ccc(c2)c3ocnc3)c4ccccc4,Ki,=,3200.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,3200.0
3930,CHEMBL326877,C(N1CCC(CC1)n2cccc2)c3ccccc3,Ki,=,8500.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2L expressed in CHO cells,B,8500.0
3931,CHEMBL326877,C(N1CCC(CC1)n2cccc2)c3ccccc3,Ki,=,9800.0,nM,Dopamine D2 receptor,Homo sapiens,Displacement of [3H]spiperone from human Dopamine receptor D2S expressed in CHO cells,B,9800.0
3942,CHEMBL110435,Fc1ccc(cc1)C(OCCOC2CC3CCC(C2)N3)c4ccc(F)cc4,Ki,=,1120.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity at human dopamine receptor D2,B,1120.0
3944,CHEMBL108527,Clc1cccc(N2CCN(CCCNC(=O)c3cccc4c3Cc5ccccc45)CC2)c1Cl,Ki,=,1680.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity at human dopamine receptor D2,B,1680.0
3960,CHEMBL110774,Clc1ccc(Cn2c(SCc3ccccc3)nc4ccccc24)cc1,Ki,=,6700.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,6700.0
3961,CHEMBL110431,FC(F)(F)c1ccc(CSc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,2600.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,2600.0
3963,CHEMBL108678,Fc1ccc(CSc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,>,42000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,42000.0
3966,CHEMBL108297,NS(=O)(=O)c1ccc(CSc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,1200.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,1200.0
3967,CHEMBL321405,CS(=O)(=O)c1ccc(CSc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,1100.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,1100.0
3972,CHEMBL111006,Clc1ccc(Cn2c(SCc3ccc(cc3)C#N)nc4ccccc24)cc1,Ki,=,4200.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,4200.0
3980,CHEMBL108242,COC(=O)c1ccc(C[S+]([O-])c2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,1500.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 in presence of 0.5% human serum albumin,B,1500.0
3981,CHEMBL108243,COC(=O)c1ccc(cc1)c2nc3ccccc3n2Cc4ccc(Cl)cc4,Ki,=,8000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,8000.0
3983,CHEMBL320734,COC(=O)c1ccc(Cc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,6200.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,6200.0
3984,CHEMBL320734,COC(=O)c1ccc(Cc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,>,12000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 in presence of 0.5% human serum albumin,B,12000.0
3985,CHEMBL110063,COC(=O)c1ccc(Nc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,1500.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,1500.0
3986,CHEMBL110063,COC(=O)c1ccc(Nc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,5400.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 in presence of 0.5% human serum albumin,B,5400.0
3989,CHEMBL108564,COC(=O)c1ccc(CNc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,1100.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,1100.0
3997,CHEMBL109179,OC(=O)c1ccc(CSc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc1,Ki,=,3500.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,3500.0
3998,CHEMBL107988,COC(=O)c1cccc(CSc2nc3ccccc3n2Cc4ccc(Cl)cc4)c1,Ki,=,1100.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,1100.0
4001,CHEMBL107973,CCOC(=O)c1cc(CSc2nc3ccccc3n2Cc4ccc(Cl)cc4)cc(c1)C(=O)OCC,Ki,>,43000.0,nM,Dopamine D2 receptor,Homo sapiens,Binding affinity against human recombinant dopamine receptor D2 was determined using radioligand competition binding assay,B,43000.0
